Patch1,Patch2,Patch3,Patch4,Patch5,Patch6,Patch7,Patch8,Patch9,Patch10,Patch11,Patch12,Patch13,Patch14,Patch15,Patch16,Patch17,Patch18,Patch19,Patch20,Patch21,Patch22,Patch23,Patch24
1.340418999999999983e+01,5.208404999999999774e+01,6.622710999999999615e+01,1.387120999999999960e+01,7.963917999999999608e+01,6.003229999999999933e+01,1.019712999999999958e+01,6.186885999999999797e+01,3.292627000000000237e+01,3.975652999999999793e+01,1.611388000000000176e+01,1.617217000000000127e+01,2.649924999999999997e+01,1.181033000000000044e+01,1.023201000000000072e+01,1.172624000000000066e+01,6.769674999999999443e+01,4.445591000000000292e+01,9.767610999999999422e+01,8.747468000000000643e+01,6.474027999999999849e+01,4.091846999999999923e+01,2.003305999999999898e+01,7.466173999999999644e+00
1.289462999999999937e+01,5.063611000000000217e+01,6.476722999999999786e+01,1.338898999999999972e+01,7.913080999999999676e+01,5.873279999999999745e+01,9.496921999999999642e+00,6.067882999999999782e+01,3.152760999999999925e+01,3.876122999999999763e+01,1.496669999999999945e+01,1.556394000000000055e+01,2.584815000000000040e+01,1.123445000000000071e+01,9.684810999999999837e+00,1.094172000000000011e+01,6.689544999999999675e+01,4.361296000000000106e+01,9.846547999999999945e+01,8.718507999999999925e+01,6.362850999999999857e+01,3.983006000000000313e+01,1.924946999999999875e+01,7.128974000000000366e+00
1.233684000000000047e+01,4.890840000000000032e+01,6.324210999999999672e+01,1.277289999999999992e+01,7.789763999999999555e+01,5.758843999999999852e+01,9.114651000000000280e+00,5.896838000000000335e+01,3.007826999999999984e+01,3.748648000000000025e+01,1.460243000000000002e+01,1.481032000000000082e+01,2.518794000000000111e+01,1.055526000000000053e+01,8.935558999999999585e+00,1.050006999999999913e+01,6.547681000000000040e+01,4.222749000000000308e+01,9.828278000000000247e+01,8.603830999999999563e+01,6.193424999999999869e+01,3.829231000000000051e+01,1.836157000000000039e+01,6.811086999999999669e+00
1.194497999999999927e+01,4.755895999999999901e+01,6.217484000000000322e+01,1.235365000000000002e+01,7.709336999999999307e+01,5.673669000000000295e+01,8.826917999999999154e+00,5.787395999999999674e+01,2.909616000000000113e+01,3.659154999999999802e+01,1.418599999999999994e+01,1.439936999999999934e+01,2.477851000000000070e+01,1.023907999999999952e+01,8.614072999999999425e+00,1.004246000000000016e+01,6.450593000000000643e+01,4.143173999999999779e+01,9.853810000000000002e+01,8.547941000000000145e+01,6.082184999999999775e+01,3.719160000000000110e+01,1.778944999999999865e+01,6.585105999999999682e+00
1.167254999999999932e+01,4.677434999999999832e+01,6.138700000000000045e+01,1.203245000000000076e+01,7.650374999999999659e+01,5.631157999999999930e+01,8.521046999999999372e+00,5.694397000000000020e+01,2.829141999999999868e+01,3.595438000000000045e+01,1.365875999999999912e+01,1.391652999999999984e+01,2.442685000000000173e+01,9.987417000000000655e+00,8.464263000000000758e+00,9.924913999999999348e+00,6.375639000000000323e+01,4.077161000000000257e+01,9.841822000000000514e+01,8.461853000000000691e+01,5.988855999999999824e+01,3.638168999999999897e+01,1.736073999999999984e+01,6.440776999999999752e+00
1.147631999999999941e+01,4.600999000000000194e+01,6.071833000000000169e+01,1.189325999999999972e+01,7.599343000000000359e+01,5.564218999999999937e+01,8.349548000000000414e+00,5.634835000000000349e+01,2.774750999999999834e+01,3.548058000000000334e+01,1.337527000000000044e+01,1.383272000000000013e+01,2.427543999999999969e+01,9.740992999999999569e+00,8.243589000000000055e+00,9.631142000000000536e+00,6.309577999999999776e+01,4.033100000000000307e+01,9.893864000000000658e+01,8.421544000000000096e+01,5.918431000000000353e+01,3.582092999999999705e+01,1.704015000000000057e+01,6.333493999999999957e+00
1.115297999999999945e+01,4.497220000000000084e+01,5.952429999999999666e+01,1.159676999999999936e+01,7.476782000000000039e+01,5.457509999999999906e+01,8.153985999999999734e+00,5.529128000000000043e+01,2.705901000000000067e+01,3.477758000000000038e+01,1.309681999999999924e+01,1.341086999999999918e+01,2.399487999999999843e+01,9.463340000000000529e+00,8.050998999999999128e+00,9.409117000000000175e+00,6.186643000000000114e+01,3.964744000000000312e+01,9.845409999999999684e+01,8.348423999999999978e+01,5.826807000000000158e+01,3.501848999999999990e+01,1.661548000000000158e+01,6.152289999999999814e+00
1.074090999999999951e+01,4.353430000000000177e+01,5.794407999999999959e+01,1.117652000000000001e+01,7.298148000000000479e+01,5.287489000000000061e+01,7.898729000000000333e+00,5.403063000000000216e+01,2.617339000000000127e+01,3.385582000000000136e+01,1.276886999999999972e+01,1.292176000000000080e+01,2.376560999999999879e+01,9.178464999999999208e+00,7.815459999999999852e+00,9.093189000000000632e+00,6.014157999999999760e+01,3.875245000000000317e+01,9.854569999999999652e+01,8.250024000000000513e+01,5.676586999999999961e+01,3.394570999999999827e+01,1.603822999999999865e+01,5.924648000000000359e+00
1.004611000000000054e+01,4.111433000000000249e+01,5.521244000000000085e+01,1.048836000000000013e+01,6.992467999999999506e+01,5.045481000000000193e+01,7.460651000000000366e+00,5.196311000000000035e+01,2.474748999999999910e+01,3.239668000000000347e+01,1.182937000000000083e+01,1.206570999999999927e+01,2.335022999999999982e+01,8.766897999999999413e+00,7.407904000000000266e+00,8.597189999999999444e+00,5.747778999999999883e+01,3.725377000000000294e+01,9.840672000000000708e+01,8.074738999999999578e+01,5.456546999999999770e+01,3.236480999999999852e+01,1.518177999999999983e+01,5.532783000000000229e+00
9.329404000000000252e+00,3.861099000000000103e+01,5.233207000000000164e+01,9.773687000000000680e+00,6.669594999999999629e+01,4.756228000000000122e+01,6.966331000000000273e+00,4.962411000000000172e+01,2.310831999999999908e+01,3.083684999999999832e+01,1.095445999999999920e+01,1.120635000000000048e+01,2.303269999999999840e+01,8.233150999999999442e+00,6.941169999999999618e+00,8.191309000000000395e+00,5.442060000000000031e+01,3.566337000000000046e+01,9.821618999999999744e+01,7.874110000000000298e+01,5.215413999999999817e+01,3.048209999999999908e+01,1.422152999999999956e+01,5.111070999999999920e+00
8.917156000000000304e+00,3.711458999999999975e+01,5.071537000000000006e+01,9.343878999999999380e+00,6.482496000000000436e+01,4.607088000000000250e+01,6.546123999999999832e+00,4.835289999999999822e+01,2.224831000000000003e+01,2.991030999999999906e+01,1.072189999999999976e+01,1.078359000000000023e+01,2.285550999999999888e+01,7.954854000000000092e+00,6.606328000000000422e+00,7.664030000000000342e+00,5.258643000000000001e+01,3.465590000000000259e+01,9.800391000000000474e+01,7.730594000000000676e+01,5.064905999999999864e+01,2.939442999999999984e+01,1.361791000000000018e+01,4.891416999999999682e+00
8.616592999999999947e+00,3.600162999999999869e+01,4.926847000000000065e+01,9.052473000000000880e+00,6.334638000000000346e+01,4.474119000000000312e+01,6.464930999999999983e+00,4.718064999999999998e+01,2.135808000000000106e+01,2.922064999999999912e+01,1.035042999999999935e+01,1.037659000000000020e+01,2.279078000000000159e+01,7.701272999999999591e+00,6.367211000000000176e+00,7.563261999999999929e+00,5.119827999999999690e+01,3.386305000000000121e+01,9.804089999999999350e+01,7.604914999999999736e+01,4.937418000000000262e+01,2.841377999999999915e+01,1.317083000000000048e+01,4.711733999999999867e+00
8.360841000000000633e+00,3.500623999999999825e+01,4.811910999999999916e+01,8.826031000000000404e+00,6.215682999999999936e+01,4.378271000000000157e+01,6.322835000000000427e+00,4.636603000000000208e+01,2.081504999999999939e+01,2.860427999999999926e+01,9.976551999999999865e+00,1.002083000000000013e+01,2.284235999999999933e+01,7.500024999999999942e+00,6.188863999999999699e+00,7.305295000000000094e+00,4.990137000000000000e+01,3.324108999999999980e+01,9.796313000000000670e+01,7.488124999999999432e+01,4.815131999999999834e+01,2.769905999999999935e+01,1.276945000000000086e+01,4.561579000000000050e+00
8.134928000000000381e+00,3.411012999999999806e+01,4.700773000000000224e+01,8.603481999999999630e+00,6.101196000000000197e+01,4.300122000000000355e+01,6.107861999999999902e+00,4.562017000000000166e+01,2.030398999999999887e+01,2.806035999999999930e+01,9.791055999999999315e+00,9.723914999999999864e+00,2.287483999999999895e+01,7.260436999999999585e+00,5.981914999999999871e+00,6.888785000000000380e+00,4.882956999999999681e+01,3.258543000000000234e+01,9.769723000000000468e+01,7.376480999999999710e+01,4.713248999999999711e+01,2.706754000000000104e+01,1.246571999999999925e+01,4.439593000000000345e+00
7.973479000000000205e+00,3.340901000000000209e+01,4.617110000000000269e+01,8.458536000000000499e+00,6.035782999999999987e+01,4.244984000000000179e+01,6.013351000000000113e+00,4.512275000000000347e+01,1.981520000000000081e+01,2.773984000000000094e+01,9.501917999999999864e+00,9.586717999999999407e+00,2.303624999999999901e+01,7.121520000000000294e+00,5.879139999999999588e+00,6.930663000000000018e+00,4.811223999999999990e+01,3.216980000000000217e+01,9.826148000000000593e+01,7.285308999999999457e+01,4.635743999999999687e+01,2.658926999999999907e+01,1.223882000000000048e+01,4.347423000000000037e+00
7.829520999999999731e+00,3.284783999999999793e+01,4.548745000000000260e+01,8.308915000000000717e+00,5.964905999999999864e+01,4.194532000000000238e+01,5.915932999999999886e+00,4.467819000000000074e+01,1.941619000000000028e+01,2.738296000000000063e+01,9.322428999999999633e+00,9.426494999999999180e+00,2.318282999999999916e+01,6.989020000000000010e+00,5.754769999999999719e+00,6.765266999999999697e+00,4.741881999999999664e+01,3.177312999999999832e+01,9.826082999999999856e+01,7.218180999999999869e+01,4.562792999999999921e+01,2.619105000000000061e+01,1.202922000000000047e+01,4.273604999999999876e+00
7.707948000000000022e+00,3.229820000000000135e+01,4.487747000000000241e+01,8.235352999999999923e+00,5.901315000000000310e+01,4.152438000000000073e+01,5.818064999999999820e+00,4.437214999999999776e+01,1.916036000000000072e+01,2.704686999999999841e+01,9.168373000000000772e+00,9.304403999999999897e+00,2.334616000000000113e+01,6.921692000000000178e+00,5.690186999999999884e+00,6.707736999999999838e+00,4.683516000000000190e+01,3.143289000000000044e+01,9.836020000000000607e+01,7.149084999999999468e+01,4.512682000000000215e+01,2.584920999999999935e+01,1.185576000000000008e+01,4.210048999999999708e+00
7.629602000000000217e+00,3.187781000000000020e+01,4.437465000000000259e+01,8.132248999999999839e+00,5.854934000000000083e+01,4.123360000000000269e+01,5.759138000000000090e+00,4.414808000000000021e+01,1.883160000000000167e+01,2.681966999999999857e+01,9.188240999999999659e+00,9.193588000000000093e+00,2.347938999999999865e+01,6.836222000000000243e+00,5.590400999999999954e+00,6.642530999999999963e+00,4.633532000000000295e+01,3.117909999999999826e+01,9.847106999999999744e+01,7.092495999999999867e+01,4.471766000000000219e+01,2.553868999999999900e+01,1.172899999999999920e+01,4.155939000000000050e+00
7.508596999999999966e+00,3.145561000000000007e+01,4.380306999999999817e+01,8.045360999999999763e+00,5.793542000000000058e+01,4.084497000000000355e+01,5.696594000000000158e+00,4.392479999999999762e+01,1.864367000000000019e+01,2.649274000000000129e+01,9.034055000000000391e+00,9.064106999999999914e+00,2.359513000000000105e+01,6.786572999999999745e+00,5.503439000000000192e+00,6.625277999999999778e+00,4.580480000000000018e+01,3.091998999999999853e+01,9.810402000000000555e+01,7.030798000000000059e+01,4.411728999999999701e+01,2.524117999999999995e+01,1.155790999999999968e+01,4.101234999999999964e+00
7.447305000000000064e+00,3.113288000000000011e+01,4.346923999999999921e+01,7.977928999999999604e+00,5.762069000000000329e+01,4.074736000000000047e+01,5.650336000000000247e+00,4.380239999999999867e+01,1.840966999999999842e+01,2.625687999999999889e+01,9.018767999999999674e+00,8.993028000000000688e+00,2.383763000000000076e+01,6.700275999999999677e+00,5.450478999999999630e+00,6.442503000000000313e+00,4.541449999999999676e+01,3.087253000000000114e+01,9.827022999999999797e+01,6.991293000000000291e+01,4.386270999999999987e+01,2.506544999999999845e+01,1.148858000000000068e+01,4.067933000000000021e+00
7.388967000000000063e+00,3.086679000000000173e+01,4.321705999999999648e+01,7.956938000000000066e+00,5.733491000000000071e+01,4.057742999999999967e+01,5.580935000000000201e+00,4.383518000000000114e+01,1.832944000000000173e+01,2.602213000000000065e+01,8.897629999999999484e+00,8.905988000000000682e+00,2.408527000000000129e+01,6.674822999999999951e+00,5.356075999999999837e+00,6.511224000000000345e+00,4.515037000000000234e+01,3.089808000000000021e+01,9.829004000000000474e+01,6.957066000000000372e+01,4.356275000000000119e+01,2.489686000000000021e+01,1.141348999999999947e+01,4.034216999999999942e+00
7.311590999999999951e+00,3.060095000000000098e+01,4.295488000000000284e+01,7.907754999999999868e+00,5.699343999999999966e+01,4.042828999999999695e+01,5.534463999999999828e+00,4.385197000000000145e+01,1.806306000000000012e+01,2.573379999999999868e+01,8.935584999999999667e+00,8.807945000000000135e+00,2.429445000000000121e+01,6.631539000000000073e+00,5.330689999999999706e+00,6.436721000000000359e+00,4.473942000000000263e+01,3.095166000000000039e+01,9.821133000000000379e+01,6.923162000000000660e+01,4.323461999999999961e+01,2.470304000000000144e+01,1.133247000000000071e+01,4.001935999999999716e+00
7.256197000000000230e+00,3.033114000000000132e+01,4.282645000000000124e+01,7.897325999999999624e+00,5.681148999999999916e+01,4.034626000000000090e+01,5.463898000000000366e+00,4.389121000000000095e+01,1.794858999999999938e+01,2.548452999999999946e+01,8.846638000000000446e+00,8.743408000000000513e+00,2.460047000000000139e+01,6.614567000000000085e+00,5.287136000000000280e+00,6.488247999999999571e+00,4.441723000000000354e+01,3.114225000000000065e+01,9.828408000000000300e+01,6.883499000000000478e+01,4.300312999999999874e+01,2.458439999999999870e+01,1.126191000000000031e+01,3.970664000000000193e+00
7.212964999999999627e+00,3.018459000000000003e+01,4.273207000000000022e+01,7.863395999999999830e+00,5.657195999999999714e+01,4.029946000000000339e+01,5.437772999999999968e+00,4.395879000000000048e+01,1.785109999999999886e+01,2.524195999999999884e+01,8.782944999999999780e+00,8.698226000000000013e+00,2.492650000000000077e+01,6.562369999999999592e+00,5.267440999999999818e+00,6.455211000000000254e+00,4.409017999999999660e+01,3.133975999999999829e+01,9.816837999999999909e+01,6.864137999999999806e+01,4.291810000000000258e+01,2.445818999999999832e+01,1.122157999999999944e+01,3.943162000000000056e+00
7.176372999999999891e+00,2.999886000000000053e+01,4.268298999999999666e+01,7.873216000000000214e+00,5.646493000000000251e+01,4.036482999999999777e+01,5.428232999999999642e+00,4.413571999999999917e+01,1.770775000000000077e+01,2.502094999999999914e+01,8.746411999999999409e+00,8.640378000000000114e+00,2.525142999999999915e+01,6.577785999999999689e+00,5.243783999999999779e+00,6.414925000000000210e+00,4.386778000000000333e+01,3.157032999999999845e+01,9.829328999999999894e+01,6.838396000000000186e+01,4.267790999999999713e+01,2.442156999999999911e+01,1.120251000000000019e+01,3.926130999999999815e+00
7.161990000000000300e+00,2.988303000000000154e+01,4.263065999999999889e+01,7.873942000000000441e+00,5.643229999999999791e+01,4.036211999999999733e+01,5.450472999999999679e+00,4.428197999999999723e+01,1.766736999999999824e+01,2.480152000000000001e+01,8.782199000000000311e+00,8.662736999999999910e+00,2.561908999999999992e+01,6.561721999999999611e+00,5.215436999999999657e+00,6.462481000000000364e+00,4.368092999999999648e+01,3.179567000000000121e+01,9.843205000000000382e+01,6.833249999999999602e+01,4.266053000000000139e+01,2.437903999999999982e+01,1.117750999999999983e+01,3.918382999999999949e+00
7.127110000000000056e+00,2.976435999999999993e+01,4.250820000000000221e+01,7.871826999999999686e+00,5.626745999999999981e+01,4.038382000000000005e+01,5.397333999999999854e+00,4.439450999999999681e+01,1.757591000000000037e+01,2.452448000000000050e+01,8.772318999999999534e+00,8.593920999999999921e+00,2.598141999999999996e+01,6.556541000000000174e+00,5.218936000000000242e+00,6.393022000000000205e+00,4.336328999999999922e+01,3.196101000000000170e+01,9.827280000000000371e+01,6.812461999999999307e+01,4.248391000000000162e+01,2.433559999999999945e+01,1.115268000000000015e+01,3.898791999999999813e+00
